# Submitted to nmrlipids.blogspot.fi by Hubert Santuz on 01 Dec 2014.
#
#	http://nmrlipids.blogspot.com/2014/11/new-version-of-manuscript.html?showComment=1417431166329#c695324453039586835
#
# Note that this is the final version of two earlier submissions;
# the original one on 15 Jan 2014:
#
#	http://nmrlipids.blogspot.com/2013/10/welcome-if-you-are-new-here-reading.html?showComment=1389803641603#c624924164693268730
#
# and a second one on 21 Apr 2014:
#
#	http://nmrlipids.blogspot.com/2013/10/welcome-if-you-are-new-here-reading.html?showComment=1398343852245#c2329332797377254764
#
# in which the 50%-chol system was first presented, and all the lipids
# were taken into account for order parameter calculation.
#
# POPC. 128 lipids, 5120 waters = 40 w/l.
# 303K.
# 200 ns, last 100 ns analyzed. 
#
# SEM = Standard Error of the Mean, assuming each lipid
# as an independent measurement.


# 	%-chol	S_CH			SEM
# beta:
	0 	-0.0744980003125 	0.00333904893917
	20	-0.072175267 		0.00308292834549
	50	-0.050543632125 	0.00329372632623

	0 	-0.0755862078125 	0.00383798558434
	20	-0.0760399779 		0.00389812406501
	50	-0.05469183325 		0.00305470255245

# alpha:
	0	0.0326603446094 	0.00395158851757
	20	0.04270917444		0.0042240804685
	50	0.0421225375125 	0.00327621652191

	0 	0.0337601656563 	0.00394836003457
	20	0.03036876009		0.00401898367358
	50	0.03643645475 		0.00300005311456

# g3:
	0 	-0.237312033594 	0.00504997490748
	20	-0.231928383 		0.00733238238437
	50	-0.169541661125 	0.00967498752857

	0 	-0.247078038281 	0.0037838314359
	20	-0.24442007 		0.00505231993431
	50	-0.189220869 		0.00933902868738

# g2:
	0 	-0.204273684375 	0.00714063250042 
	20	-0.22770386352		0.00766574931982
	50	-0.21734699625		0.0078775096834

# g1:
	0 	-0.178665480469 	0.00848274544958 
	20	-0.1995879125 		0.00837702754185
	50	-0.1767620225		0.0125694372167

	0 	-0.0421973746094 	0.00675247463245
	20	-0.05231610802 		0.00853063107976
	50	-0.003610161125		0.0157752366247
